title,originallink,link,description,pubDate
채정안 그 시절 패션도 소화하네 &quot;<b>Y2K</b> 좀 아는 나&quot;,https://www.newsis.com/view/NISX20250818_0003293477,https://m.entertain.naver.com/article/003/0013426979,그는 지난 17일 소셜미디어에 &quot;<b>Y2K</b> 시절 좀 아는 너와 나&quot;라는 글과 함께 사진 여러 장을 올렸다. 사진 속 채정안은 <b>선글라스</b>를 낀 채 흰색 민소매와 체크 무늬 머플러를 매치했다. 그는 디저트를 먹으며 아름다운 미모를... ,"Mon, 18 Aug 2025 11:37:00 +0900"
겨울 멋쟁이를 위한 <b>선글라스</b> 활용법 6,http://www.elle.co.kr/article/74967,http://www.elle.co.kr/article/74967,월드와이드 모델 벨라 하디드의 겨울 패션에서 포착한 <b>선글라스</b>는? <b>Y2K</b> 무드가 강조된 프레임이 없는 틴티드 <b>선글라스</b>와 강렬한 레더 재킷을 믹스해 쿠엔틴 타란티노 영화 속 주인공처럼 강렬한 여전사 스타일을... ,"Mon, 13 Feb 2023 04:02:00 +0900"
어려 보이고 싶을 땐 레그 워머,https://woman.donga.com/3/all/12/6003511/1,https://woman.donga.com/3/all/12/6003511/1,"<b>Y2K</b> 감성은 물론, 모던하고 시크한 무드까지 아우르는 2025년식 스타일링으로 그 시절 감수성을 되살려보자.... 헤드 스카프와 빅 <b>선글라스</b>, 클러치 백을 곁들인 세련된 복고 무드가 인상적이다. 두툼한 코트까지 더한다면... ","Wed, 10 Dec 2025 09:02:00 +0900"
요즘 힙스터들은 요상한 <b>선글라스</b>를 써,https://www.wkorea.com/2022/12/28/%ec%9a%94%ec%a6%98-%ed%9e%99%ec%8a%a4%ed%84%b0%eb%93%a4%ec%9d%80-%ec%9a%94%ec%83%81%ed%95%9c-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4%eb%a5%bc-%ec%8d%a8/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2022/12/28/%ec%9a%94%ec%a6%98-%ed%9e%99%ec%8a%a4%ed%84%b0%eb%93%a4%ec%9d%80-%ec%9a%94%ec%83%81%ed%95%9c-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4%eb%a5%bc-%ec%8d%a8/?utm_source=naver&utm_medium=partnership,"<b>선글라스</b>는 블랑카 미로의 전천후 스타일링 아이템이다. 지지 하디드가 쓰고 나왔던, 한때 촌스럽다 여겼던 컬러 렌즈 <b>선글라스</b>도 <b>Y2K</b> 영향으로 다시 부상 중이니 다가올 봄엔 요상한 <b>선글라스</b> 하나 마련해봐도 좋을 듯하다.","Wed, 28 Dec 2022 10:04:00 +0900"
"류이서, 70~80년대 니트 톱 멋져! 헤어밴드&amp;<b>선글라스</b>와 꿀조합 빈티지 레...",http://www.fashionn.com/board/read_new.php?table=1024&number=57777,http://www.fashionn.com/board/read_new.php?table=1024&number=57777,특히 1970년대-1980년대 빈티지 니트 감성에 90년대 <b>Y2K</b> 스타일을 연상시키는 굵은 체크 패턴과 쨍한 컬러 배합의 니트 톱이 눈길을 끌었다. 또 여기에 블랙 헤어밴드와 화이트 프레임 <b>선글라스</b>로 레트로 감성을 한껏... ,"Tue, 09 Sep 2025 14:44:00 +0900"
이번 시즌 빅 트렌드 <b>선글라스</b> 4,https://www.wkorea.com/2022/06/03/%eb%ac%b4%ec%8a%a8-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4-%eb%82%84-%ea%b1%b0%ec%97%90%ec%9a%94/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2022/06/03/%eb%ac%b4%ec%8a%a8-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4-%eb%82%84-%ea%b1%b0%ec%97%90%ec%9a%94/?utm_source=naver&utm_medium=partnership,"니콜라 펠츠는 화이트 톤의 프린지 디테일 톱에 그러데이션 스콧 프리 <b>선글라스</b>를 매치해 <b>y2k</b> 룩의 진수를 보여줬고, 벨라 하디드는 컷아웃이 돋보이는 보디슈트에 매치해 섹시함을 한껏 업 시켰다.  또한 빛이... ","Fri, 03 Jun 2022 11:04:00 +0900"
"스타일의 완성, 오벌 <b>선글라스</b>",https://www.marieclairekorea.com/fashion/2022/04/oval-sunglasses-style/?utm_source=naver&utm_medium=partnership,https://www.marieclairekorea.com/fashion/2022/04/oval-sunglasses-style/?utm_source=naver&utm_medium=partnership,제니 @jennierubyjane <b>Y2K</b> 스타일 <b>선글라스</b>라고 해서 꼭 블랙이어야 할 필요는 없죠. 제니처럼 밝은색 프레임의 오발 <b>선글라스</b>를 선택 해보세요. 블랙 컬러보다 조금 더 발랄해 보일 수 있겠죠? 정호연 @hoooooyeony... ,"Mon, 11 Apr 2022 09:04:00 +0900"
"[N2생활경제] 신세계免, 출국 ‘3시간 전’ 인기상품 공개…에이블리, ...",https://www.news2day.co.kr/article/20250613500062,https://www.news2day.co.kr/article/20250613500062,"에이블리는 ‘큐롯 팬츠’와 ‘카프리 팬츠’ 등 <b>Y2K</b> 스타일 하의류의 인기가 높아지자 관련 할인 행사를... 패션 카테고리에서는 페라가모 <b>선글라스</b>, 쌤소나이트 라이트박스 캐리어 등 여행 실용성과 패션을 모두... ","Fri, 13 Jun 2025 09:38:00 +0900"
"무심하게 툭! 일단 걸치면 멋이 난다, 유행하는 <b>선글라스</b> 4",https://www.gqkorea.co.kr/2025/08/20/%eb%ac%b4%ec%8b%ac%ed%95%98%ea%b2%8c-%ed%88%ad-%ec%9d%bc%eb%8b%a8-%ea%b1%b8%ec%b9%98%eb%a9%b4-%eb%a9%8b%ec%9d%b4-%eb%82%9c%eb%8b%a4-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc/?utm_source=naver&utm_medium=partnership,https://www.gqkorea.co.kr/2025/08/20/%eb%ac%b4%ec%8b%ac%ed%95%98%ea%b2%8c-%ed%88%ad-%ec%9d%bc%eb%8b%a8-%ea%b1%b8%ec%b9%98%eb%a9%b4-%eb%a9%8b%ec%9d%b4-%eb%82%9c%eb%8b%a4-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%ec%84%a0%ea%b8%80%eb%9d%bc/?utm_source=naver&utm_medium=partnership,"요즘 유행하는 <b>Y2K</b>, 고프코어 분위기와도 찰떡같이 어울리는 선택이다. @jennierubyjane 제이홉 - 라운드 스퀘어 <b>선글라스</b> 제이홉이 고른 <b>선글라스</b>는 라운드 스퀘어 쉐입. 핑크 틴트가 들어간 <b>선글라스</b>는 그의 경쾌한... ","Wed, 20 Aug 2025 14:29:00 +0900"
옷 잘 입는 셀럽들이 모두 빠진 실버 <b>선글라스</b>,https://www.wkorea.com/2025/08/13/%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%82%ac%ec%95%bc-%ed%95%a0-%ec%8b%a4%eb%b2%84-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2025/08/13/%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%82%ac%ec%95%bc-%ed%95%a0-%ec%8b%a4%eb%b2%84-%ec%84%a0%ea%b8%80%eb%9d%bc%ec%8a%a4/?utm_source=naver&utm_medium=partnership,"날렵한 쉐입으로 운동을 할 때나 쓸 것 같은 이 <b>선글라스</b>에 조 크라비츠부터 제니, 김나영 등 옷 잘 입는 셀럽들이 모두 빠져있죠. <b>Y2K</b> 무드는 물론이고, 의외로 튀지 않아 일상복에도 잘 스며드는 매력이 있기... ","Wed, 13 Aug 2025 16:22:00 +0900"
"엄정화, 감성 폭발 50대 힙한 <b>Y2K</b> 스타일! 반다나에 민소매 섬머 스트릿...",http://www.fashionn.com/board/read_new.php?table=1024&number=56624,http://www.fashionn.com/board/read_new.php?table=1024&number=56624,"배우 겸 가수 엄정화가 센스있는 <b>Y2K</b> 감성의 힙한 스트릿룩으로 시선을 사로잡았다. 엄정화는 18일 자신의... 큼지막한 <b>선글라스</b>와 톤온톤의 크로스백까지 더해져, 전체적인 룩에 도시적인 세련미를 부여했다. 한편... ","Thu, 19 Jun 2025 11:46:00 +0900"
패피는 겨울에도 <b>선글라스</b>를 쓰지,http://www.elle.co.kr/article/63786,http://www.elle.co.kr/article/63786,자신만의 개성 있는 스타일로 MZ세대에게 무한 사랑을 받는 벨라 하디드 역시 사복 패션에 <b>선글라스</b>가 빠지지 않습니다. <b>Y2K</b> 감성을 불러일으키는 셰이프의 틴티드 <b>선글라스</b>를 선택해 넘사벽 포스를 드러냈어요. 이너... ,"Sat, 12 Feb 2022 03:02:00 +0900"
"올여름, 90년대 무드 '<b>선글라스</b> 꿀조합' 공개",https://www.slist.kr/news/articleView.html?idxno=654626,https://www.slist.kr/news/articleView.html?idxno=654626,"2025년 여름, 다시 돌아온 '레트로 무드'가 <b>선글라스</b> 트렌드를 장악하고 있다. 90년대 무드를 자아내는 오벌... 레이스나 크로쉐 디테일 등 복고 로맨틱룩과 함께라면 감각적인 <b>Y2K</b> 스타일을 완성할 수 있다.","Wed, 25 Jun 2025 19:58:00 +0900"
"완치 소식을 알린 스타일 퀸의 귀환, 벨라 하디드의 컴백 소식",https://www.wkorea.com/2023/12/26/%eb%b2%a8%eb%9d%bc-%ed%95%98%eb%94%94%eb%93%9c%ea%b0%80-%eb%8f%8c%ec%95%84%ec%99%94%ec%8a%b5%eb%8b%88%eb%8b%a4/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2023/12/26/%eb%b2%a8%eb%9d%bc-%ed%95%98%eb%94%94%eb%93%9c%ea%b0%80-%eb%8f%8c%ec%95%84%ec%99%94%ec%8a%b5%eb%8b%88%eb%8b%a4/?utm_source=naver&utm_medium=partnership,"섹시한 상의 아이템과 더불에 빠지지 않는 게 바로 이 레트로 스타일의 안경, <b>선글라스</b>들입니다. 여전히 <b>Y2K</b>와 인디슬리즈 패션에 심취한 그녀에게 안경은 스타일링에 포인트를 줄 최적의 아이템이죠. 레트로 스타일의... ","Tue, 26 Dec 2023 16:38:00 +0900"
"韓 백화점 1층 접수한 K안경, 뉴욕으로 출격",https://www.hankyung.com/article/2025061560651,https://n.news.naver.com/mnews/article/015/0005144752?sid=101,"안경·<b>선글라스</b> 등 아이웨어 상품군 매출은 전년 대비 40% 증가했다. 신세계백화점과 현대백화점도 마찬가지다. 패션 카테고리의 성장세가 정체된 상황에서도 각각 16%, 13.6% 늘어났다. <b>Y2K</b>(2000년대 초반) 패션, 긱시크(Geek... ","Sun, 15 Jun 2025 17:33:00 +0900"
"제니, 백리스+레드 시퀸 핫팬츠로 ‘갓제니’ 포스 폭발...<b>Y2K</b> 감성 제대...",https://www.mk.co.kr/article/11294747,https://m.entertain.naver.com/article/410/0001062575,"여기에 체인 벨트로 스타일링에 한층 더 화려한 포인트를 주고, 사이하이 부츠를 매치해 <b>Y2K</b> 무드를 극대화했다. 대형 미러 <b>선글라스</b>를 쓴 채 여유롭게 포즈를 취하는 제니의 모습은 “역시 갓제니”라는 찬사를... ","Fri, 18 Apr 2025 07:06:00 +0900"
